country_name,country_code,WGI - VoiceandAccountability,WGI - Political StabilityNoViolence,WGI - GovernmentEffectiveness,WGI - RegulatoryQuality,WGI - RuleofLaw,WGI - ControlofCorruption
Kenya,KEN,-0.29052066802978516,-1.1236639022827148,-0.38326886296272278,-0.27703747153282166,-0.45431771874427795,-0.77724623680114746
Kyrgyz Republic,KGZ,-0.45736587047576904,-0.40978190302848816,-0.68152093887329102,-0.34735098481178284,-0.88630145788192749,-0.94541937112808228
Cambodia,KHM,-1.2025713920593262,-8.089669793844223E-2,-0.57918572425842285,-0.56883442401885986,-0.93566834926605225,-1.3024008274078369
Kiribati,KIR,1.1224985122680664,1.2045668363571167,-0.23553551733493805,-0.62179768085479736,0.73770260810852051,0.37104430794715881
St. Kitts and Nevis,KNA,0.84455472230911255,0.72827625274658203,0.54259264469146729,0.50208538770675659,0.47979530692100525,0.38506618142127991
"Korea, Rep.",KOR,0.77212280035018921,0.4780881404876709,1.3764177560806274,1.069812536239624,1.1940708160400391,0.75673425197601318
Kuwait,KWT,-0.63478946685791016,0.20038090646266937,1.8467279151082039E-2,6.4923897385597229E-2,0.21567395329475403,-0.1327890157699585
Lao PDR,LAO,-1.8016995191574097,0.52507293224334717,-0.7845454216003418,-0.71321463584899902,-0.94110077619552612,-1.0582287311553955
Lebanon,LBN,-0.49433168768882751,-1.6387401819229126,-0.83280247449874878,-0.42559215426445007,-0.85828012228012085,-1.1602132320404053
Liberia,LBR,-2.8342932462692261E-2,-0.22901391983032227,-1.3751332759857178,-0.97894477844238281,-0.99521124362945557,-0.87758070230484009
Libya,LBY,-1.4583346843719482,-2.5657525062561035,-1.9221433401107788,-2.3469474315643311,-1.848054051399231,-1.603636622428894
St. Lucia,LCA,0.92815470695495605,0.92619377374649048,0.22584962844848633,0.23496533930301666,0.56912946701049805,0.52474296092987061
Liechtenstein,LIE,1.2593640089035034,1.6277463436126709,1.6967663764953613,1.5408135652542114,1.679332971572876,1.9683111906051636
Sri Lanka,LKA,-4.2583748698234558E-2,-0.22812418639659882,-0.11354987323284149,-0.18437041342258453,-1.1983425356447697E-2,-0.31947007775306702
Lesotho,LSO,2.9661079868674278E-2,-0.35466569662094116,-0.83226168155670166,-0.53560358285903931,-0.38059708476066589,-2.7304306626319885E-2
Lithuania,LTU,1.0248534679412842,0.84219396114349365,1.0433808565139771,1.1573636531829834,1.0228707790374756,0.67598599195480347
Luxembourg,LUX,1.5244420766830444,1.3621183633804321,1.7336456775665283,1.6998822689056396,1.7934256792068481,2.1121962070465088
